Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -9.8	10/23/20 1737	10/23/20 1500	1.00	 -0.10	 -1.14	 59.87	 59.87	200.39	200.39	200.39	 1.7560E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-1.6457E-08	 9.5000E-04	 2.7006E-08	-1.6457E-08	 0.0000E+00	-6.1164E-09	-1.4900E-03	 8.2416E-09	-6.1164E-09	 0.0000E+00	-3.4920E-10	-4.7000E-04	 3.3746E-08	-3.4920E-10	 0.0000E+00	 1	-1.1105E-10	-2.5874E-10	 3.1438E-09	   5505	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -9.6	10/23/20 1737	10/23/20 1500	1.00	 -0.10	 -3.10	 58.79	 58.79	199.55	199.55	199.55	 1.7946E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-1.6887E-08	 6.2000E-04	 1.8977E-08	-1.6887E-08	 0.0000E+00	-5.9959E-09	-1.5500E-03	 6.7872E-09	-5.9959E-09	 0.0000E+00	-9.6925E-10	-2.2000E-04	 3.8029E-08	-9.6925E-10	 0.0000E+00	 1	-1.8332E-10	-4.2715E-10	 5.1899E-09	   9088	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -9.4	10/23/20 1737	10/23/20 1500	1.00	 -0.09	 -6.72	 55.55	 55.55	196.20	196.20	196.20	 1.9430E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-1.8530E-08	 5.0000E-04	 1.6058E-08	-1.8530E-08	 0.0000E+00	-5.3846E-09	-1.5000E-03	 7.9992E-09	-5.3846E-09	 0.0000E+00	-2.2741E-09	-1.4000E-04	 3.9399E-08	-2.2741E-09	 0.0000E+00	 1	-2.5818E-10	-6.0157E-10	 7.3092E-09	  12799	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -9.2	10/23/20 1737	10/23/20 1500	1.00	 -0.09	-12.21	 51.58	 51.58	193.47	193.47	193.47	 2.0969E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-1.9931E-08	 3.8000E-04	 1.3138E-08	-1.9931E-08	 0.0000E+00	-4.7733E-09	-1.5500E-03	 6.7872E-09	-4.7733E-09	 0.0000E+00	-4.4348E-09	-4.0000E-05	 4.1112E-08	-4.4348E-09	 0.0000E+00	 1	-3.3308E-10	-7.7609E-10	 9.4296E-09	  16512	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -9.0	10/23/20 1737	10/23/20 1500	1.00	 -0.09	-15.57	 45.90	 45.90	188.58	188.58	188.58	 2.3931E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-2.2794E-08	 2.0000E-04	 8.7588E-09	-2.2794E-08	 0.0000E+00	-3.4409E-09	-1.5200E-03	 7.5144E-09	-3.4409E-09	 0.0000E+00	-6.4246E-09	 9.0000E-05	 4.3339E-08	-6.4246E-09	 0.0000E+00	 1	-4.0529E-10	-9.4436E-10	 1.1474E-08	  20092	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -8.8	10/23/20 1737	10/23/20 1500	1.00	 -0.09	-18.68	 40.24	 40.24	193.62	193.62	193.62	 2.6807E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-2.4681E-08	 9.0000E-05	 6.0825E-09	-2.4681E-08	 0.0000E+00	-5.9807E-09	-1.5600E-03	 6.5448E-09	-5.9807E-09	 0.0000E+00	-8.5857E-09	 1.9000E-04	 4.5052E-08	-8.5857E-09	 0.0000E+00	 1	-4.8021E-10	-1.1189E-09	 1.3595E-08	  23806	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -8.6	10/23/20 1737	10/23/20 1500	1.00	 -0.09	-21.09	 32.61	 32.61	194.49	194.49	194.49	 3.1297E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-2.8271E-08	-9.0000E-05	 1.7031E-09	-2.8271E-08	 0.0000E+00	-7.3087E-09	-1.6500E-03	 4.3632E-09	-7.3087E-09	 0.0000E+00	-1.1261E-08	 2.8000E-04	 4.6594E-08	-1.1261E-08	 0.0000E+00	 1	-5.5503E-10	-1.2933E-09	 1.5713E-08	  27515	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -8.4	10/23/20 1737	10/23/20 1500	1.00	 -0.08	-20.32	 27.49	 27.49	191.12	191.12	191.12	 3.5684E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-3.2834E-08	-3.2000E-04	-3.8928E-09	-3.2834E-08	 0.0000E+00	-6.4547E-09	-1.6600E-03	 4.1208E-09	-6.4547E-09	 0.0000E+00	-1.2394E-08	 4.1000E-04	 4.8821E-08	-1.2394E-08	 0.0000E+00	 1	-6.3001E-10	-1.4680E-09	 1.7836E-08	  31232	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -8.2	10/23/20 1737	10/23/20 1500	1.00	 -0.08	-22.72	 21.18	 21.18	194.14	194.14	194.14	 3.9906E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-3.5694E-08	-4.5000E-04	-7.0557E-09	-3.5694E-08	 0.0000E+00	-8.9945E-09	-1.7200E-03	 2.6664E-09	-8.9945E-09	 0.0000E+00	-1.5411E-08	 5.1000E-04	 5.0534E-08	-1.5411E-08	 0.0000E+00	 1	-7.0489E-10	-1.6424E-09	 1.9956E-08	  34944	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -8.0	10/23/20 1737	10/23/20 1500	1.00	 -0.08	-20.42	 17.12	 17.12	192.74	192.74	192.74	 4.6440E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.2450E-08	-6.7000E-04	-1.2408E-08	-4.2450E-08	 0.0000E+00	-9.6013E-09	-1.7200E-03	 2.6664E-09	-9.6013E-09	 0.0000E+00	-1.6202E-08	 6.3000E-04	 5.2589E-08	-1.6202E-08	 0.0000E+00	 1	-7.7712E-10	-1.8107E-09	 2.2001E-08	  38525	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -7.8	10/23/20 1737	10/23/20 1500	1.00	 -0.08	-20.88	 11.50	 11.50	191.12	191.12	191.12	 5.3933E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.9446E-08	-9.5000E-04	-1.9221E-08	-4.9446E-08	 0.0000E+00	-9.7170E-09	-1.7000E-03	 3.1512E-09	-9.7170E-09	 0.0000E+00	-1.9220E-08	 7.1000E-04	 5.3960E-08	-1.9220E-08	 0.0000E+00	 1	-8.5206E-10	-1.9854E-09	 2.4122E-08	  42240	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -7.6	10/23/20 1737	10/23/20 1500	1.00	 -0.08	-20.03	  9.90	  9.90	190.41	190.41	190.41	 5.7923E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-5.3523E-08	-1.1600E-03	-2.4330E-08	-5.3523E-08	 0.0000E+00	-9.8328E-09	-1.7300E-03	 2.4240E-09	-9.8328E-09	 0.0000E+00	-1.9840E-08	 7.9000E-04	 5.5330E-08	-1.9840E-08	 0.0000E+00	 1	-9.2698E-10	-2.1599E-09	 2.6243E-08	  45954	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -7.4	10/23/20 1737	10/23/20 1500	1.00	 -0.07	-20.80	  5.82	  5.82	190.84	190.84	190.84	 6.4854E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-5.9546E-08	-1.4800E-03	-3.2116E-08	-5.9546E-08	 0.0000E+00	-1.1403E-08	-1.7400E-03	 2.1816E-09	-1.1403E-08	 0.0000E+00	-2.3029E-08	 7.8000E-04	 5.5159E-08	-2.3029E-08	 0.0000E+00	 1	-1.0019E-09	-2.3344E-09	 2.8363E-08	  49666	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -7.2	10/23/20 1737	10/23/20 1500	1.00	 -0.07	-20.07	  4.42	  4.42	190.32	190.32	190.32	 6.9904E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-6.4596E-08	-1.7300E-03	-3.8198E-08	-6.4596E-08	 0.0000E+00	-1.1761E-08	-1.8300E-03	 0.0000E+00	-1.1761E-08	 0.0000E+00	-2.3991E-08	 8.4000E-04	 5.6186E-08	-2.3991E-08	 0.0000E+00	 1	-1.0767E-09	-2.5089E-09	 3.0483E-08	  53378	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -7.0	10/23/20 1737	10/23/20 1500	1.00	 -0.07	-20.30	  1.66	  1.66	189.23	189.23	189.23	 7.7337E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-7.1592E-08	-2.0700E-03	-4.6470E-08	-7.1592E-08	 0.0000E+00	-1.1635E-08	-1.8300E-03	 0.0000E+00	-1.1635E-08	 0.0000E+00	-2.6837E-08	 8.0000E-04	 5.5501E-08	-2.6837E-08	 0.0000E+00	 1	-1.1516E-09	-2.6832E-09	 3.2601E-08	  57087	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -6.8	10/23/20 1737	10/23/20 1500	1.00	 -0.07	-19.36	  0.10	  0.10	190.01	190.01	190.01	 8.6423E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-8.0292E-08	-2.5000E-03	-5.6932E-08	-8.0292E-08	 0.0000E+00	-1.4175E-08	-1.8200E-03	 2.4240E-10	-1.4175E-08	 0.0000E+00	-2.8656E-08	 7.9000E-04	 5.5330E-08	-2.8656E-08	 0.0000E+00	 1	-1.2265E-09	-2.8578E-09	 3.4722E-08	  60802	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -6.6	10/23/20 1737	10/23/20 1500	1.00	 -0.07	-19.58	 -1.93	 -1.93	187.66	187.66	187.66	 9.4521E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-8.8262E-08	-2.8900E-03	-6.6421E-08	-8.8262E-08	 0.0000E+00	-1.1868E-08	-1.7300E-03	 2.4240E-09	-1.1868E-08	 0.0000E+00	-3.1673E-08	 6.9000E-04	 5.3617E-08	-3.1673E-08	 0.0000E+00	 1	-1.3013E-09	-3.0322E-09	 3.6842E-08	  64513	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -6.4	10/23/20 1737	10/23/20 1500	1.00	 -0.06	-18.30	 -3.05	 -3.05	188.05	188.05	188.05	 1.0832E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-1.0183E-07	-3.5500E-03	-8.2479E-08	-1.0183E-07	 0.0000E+00	-1.4410E-08	-1.7800E-03	 1.2120E-09	-1.4410E-08	 0.0000E+00	-3.4006E-08	 6.4000E-04	 5.2760E-08	-3.4006E-08	 0.0000E+00	 1	-1.3762E-09	-3.2067E-09	 3.8962E-08	  68226	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -6.2	10/23/20 1737	10/23/20 1500	1.00	 -0.06	-17.82	 -4.05	 -4.05	188.83	188.83	188.83	 1.1930E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-1.1223E-07	-4.1000E-03	-9.5860E-08	-1.1223E-07	 0.0000E+00	-1.7441E-08	-1.8200E-03	 2.4240E-10	-1.7441E-08	 0.0000E+00	-3.6510E-08	 5.7000E-04	 5.1561E-08	-3.6510E-08	 0.0000E+00	 1	-1.4485E-09	-3.3751E-09	 4.1008E-08	  71808	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -6.0	10/23/20 1737	10/23/20 1500	1.00	 -0.06	-16.61	 -4.33	 -4.33	187.37	187.37	187.37	 1.3288E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-1.2628E-07	-4.7800E-03	-1.1240E-07	-1.2628E-07	 0.0000E+00	-1.6344E-08	-1.8900E-03	-1.4544E-09	-1.6344E-08	 0.0000E+00	-3.7985E-08	 5.5000E-04	 5.1219E-08	-3.7985E-08	 0.0000E+00	 1	-1.5234E-09	-3.5496E-09	 4.3128E-08	  75520	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -5.8	10/23/20 1737	10/23/20 1500	1.00	 -0.06	-15.41	 -4.55	 -4.55	187.64	187.64	187.64	 1.4917E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-1.4253E-07	-5.6400E-03	-1.3333E-07	-1.4253E-07	 0.0000E+00	-1.9127E-08	-1.9800E-03	-3.6360E-09	-1.9127E-08	 0.0000E+00	-3.9634E-08	 5.4000E-04	 5.1047E-08	-3.9634E-08	 0.0000E+00	 1	-1.5983E-09	-3.7241E-09	 4.5248E-08	  79234	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -5.6	10/23/20 1737	10/23/20 1500	1.00	 -0.06	-14.61	 -4.97	 -4.97	187.09	187.09	187.09	 1.6711E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-1.6047E-07	-6.5300E-03	-1.5498E-07	-1.6047E-07	 0.0000E+00	-1.9970E-08	-2.0900E-03	-6.3024E-09	-1.9970E-08	 0.0000E+00	-4.2137E-08	 5.0000E-04	 5.0362E-08	-4.2137E-08	 0.0000E+00	 1	-1.6732E-09	-3.8986E-09	 4.7368E-08	  82946	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-02+X_2mm_23-10-2017_SmallSRM_YJ	 11035	 -5.4	10/23/20 1737	10/23/20 1500	1.00	 -0.05	-13.57	 -4.89	 -4.89	186.51	186.51	186.51	 1.8447E-07	  0.00	 90.00	  0.00	  0.00	  0.00	-1.7817E-07	-7.4300E-03	-1.7688E-07	-1.7817E-07	 0.0000E+00	-2.0328E-08	-2.0900E-03	-6.3024E-09	-2.0328E-08	 0.0000E+00	-4.3270E-08	 5.2000E-04	 5.0705E-08	-4.3270E-08	 0.0000E+00	 1	-1.7481E-09	-4.0731E-09	 4.9488E-08	  86658	-3.8928E-09	-1.8977E-08	-4.4359E-08	-7.9507E-08	-4.1797E-08	 3.8525E-07	      0	 747803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
